time,open,high,low,close,volume,count
1664438400.0,20119.9,20119.9,19968.2,20053.4,138.36419221,2771254.843781267
1664445600.0,20053.5,20127.8,20002.1,20097.5,86.57796696,1737840.887208775
1664452800.0,20103.6,20111.4,19956.9,20010.3,169.20340242,3390639.558269554
1664460000.0,20022.2,20028.8,19453.0,19503.0,317.72929438,6274010.452549403
1664467200.0,19501.3,19802.1,19386.0,19746.2,230.25484107,4505229.677931002
1664474400.0,19745.4,20059.9,19570.6,19710.6,159.8822491,3167077.970477722
1664481600.0,19710.7,19879.2,19580.0,19808.8,87.29453937,1724587.651945601
1664488800.0,19808.3,19929.4,19781.9,19800.3,41.24282673,818673.790940249
1664496000.0,19800.9,19948.2,19751.9,19935.8,30.5690671,606379.272108721
1664503200.0,19939.0,20055.9,19806.3,19892.7,26.05152355,518897.578273362
1664510400.0,19892.7,19892.7,19701.3,19790.4,31.2940027,618768.414428992
1664517600.0,19791.5,19871.1,19789.6,19796.1,17.8115395,353204.869858742
1664524800.0,19806.6,19999.0,19801.7,19910.7,120.77350941,2401889.594673739
1664532000.0,19915.3,19963.4,19852.0,19933.7,141.83535763,2823752.012630438
1664539200.0,19928.4,19999.0,19910.0,19938.2,141.02873542,2814408.979691583
1664546400.0,19939.4,19971.9,19622.0,19930.0,535.16322036,10598274.282075131
1664553600.0,19930.0,20575.0,19895.7,20183.5,282.13499493,5733002.143758515
1664560800.0,20190.3,20303.0,20023.0,20105.3,131.97056292,2662594.22667456
1664568000.0,20094.4,20241.1,19900.0,19900.0,68.3016838,1371827.222423621
1664575200.0,19897.4,19923.6,19700.0,19768.5,163.19847674,3231027.619717784
1664582400.0,19768.5,19867.0,19645.0,19818.6,53.31559461,1052725.924729768
1664589600.0,19818.6,19872.6,19751.8,19815.6,37.63340728,744476.617325189
1664596800.0,19818.1,19826.8,19770.5,19799.8,40.65911034,804834.999726581
1664604000.0,19799.8,19807.4,19676.1,19709.2,19.65286223,388313.300556442
1664611200.0,19709.8,19727.0,19664.0,19711.0,54.53480839,1073915.306524926
1664618400.0,19710.8,19763.3,19707.9,19732.8,29.63255148,584795.041977275
1664625600.0,19736.6,19768.1,19558.9,19715.9,40.03563679,788106.61095607
1664632800.0,19711.7,19782.6,19650.1,19736.9,35.72748978,703649.44570975
1664640000.0,19735.4,19764.1,19698.0,19733.1,26.58611894,524362.729560196
1664647200.0,19740.8,19751.4,19650.0,19676.3,83.05983181,1635566.647876483
1664654400.0,19676.0,19724.2,19627.8,19675.1,73.41527853,1444334.956529719
1664661600.0,19674.0,19705.5,19620.0,19685.6,28.02826744,550938.823457854
1664668800.0,19686.6,19737.5,19671.6,19705.4,11.73124216,231195.148204234
1664676000.0,19706.4,19721.7,19650.0,19700.4,7.59746045,149647.793820171
1664683200.0,19700.4,19737.4,19693.0,19702.6,7.2349825,142641.557614624
1664690400.0,19705.2,19788.6,19691.9,19730.4,32.2435368,636768.171150096
1664697600.0,19729.5,19780.7,19633.3,19684.6,30.66716854,603871.264555784
1664704800.0,19680.5,19702.0,19640.7,19660.8,22.41864031,441152.933832241
1664712000.0,19660.8,19668.9,19455.1,19600.0,101.34470573,1979229.091819124
1664719200.0,19600.1,19645.2,19538.3,19566.0,30.70338554,600973.375408317
1664726400.0,19566.0,19586.1,19486.5,19539.8,30.62735627,598409.026965319
1664733600.0,19540.7,19623.0,19526.4,19591.1,42.04752378,823692.640172586
1664740800.0,19590.1,19726.1,19541.5,19673.0,68.55880673,1347919.585021521
1664748000.0,19673.1,19682.5,19502.1,19596.1,37.28288338,731061.90694785
1664755200.0,19594.5,19675.9,19320.1,19452.9,115.07140656,2235274.035768008
1664762400.0,19453.0,19605.5,19389.1,19579.2,33.9866467,663151.432210677
1664769600.0,19579.2,19583.7,19501.5,19552.2,5.52367816,107948.087275287
1664776800.0,19551.3,19634.1,19479.7,19607.7,38.98581143,761338.472790172
1664784000.0,19607.7,19675.3,19552.4,19570.1,80.89619813,1584686.957010925
1664791200.0,19570.1,19643.3,19539.0,19640.3,91.94030408,1799014.182237978
1664798400.0,19640.3,19707.1,19585.3,19702.8,122.96206935,2415531.457997115
1664805600.0,19700.0,19780.7,19613.1,19634.6,156.43356479,3079614.962935423
1664812800.0,19638.5,19825.4,19638.5,19715.3,261.47913661,5156005.964414374
1664820000.0,19715.6,19987.5,19712.0,19964.9,154.53323301,3064617.899113348
1664827200.0,19960.0,20041.0,19825.7,19872.8,170.60002865,3405584.957012459
1664834400.0,19872.7,19949.7,19872.7,19894.9,84.04416757,1672177.421468204
1664841600.0,19895.0,20050.0,19859.0,19964.9,40.35310639,804384.117717443
1664848800.0,19963.1,20050.0,19886.8,19886.9,21.4636951,428187.381285329
1664856000.0,19886.8,19931.6,19877.9,19906.7,7.35807824,146470.590376752
1664863200.0,19906.8,19996.3,19889.9,19924.7,198.39943337,3953343.479017776
1664870400.0,19926.4,20217.6,19912.2,20217.6,177.85462949,3569123.117421796
1664877600.0,20217.6,20404.9,20109.5,20200.4,343.91209812,6957546.442959492
1664884800.0,20200.4,20263.5,20117.5,20173.4,177.95326121,3590980.753178925
1664892000.0,20172.9,20297.9,20083.9,20251.1,123.59893465,2493866.960905865
1664899200.0,20262.6,20385.7,20114.4,20159.3,318.40708299,6451175.986011165
1664906400.0,20159.5,20167.8,19960.7,20084.2,106.96845055,2145246.61016579
1664913600.0,20090.9,20288.1,20082.8,20250.6,67.03484563,1351290.002838677
1664920800.0,20249.4,20488.0,20188.9,20336.6,159.75113131,3254457.143931132
1664928000.0,20336.7,20419.9,20284.2,20372.3,86.4483565,1757188.261323333
1664935200.0,20377.3,20408.1,20201.0,20292.0,31.90685086,646954.653627198
1664942400.0,20292.0,20304.2,20251.4,20264.0,7.28307478,147738.317634348
1664949600.0,20263.1,20299.7,20169.1,20276.3,27.36932009,554022.954823911
1664956800.0,20276.9,20398.0,20232.9,20365.4,211.76127635,4299053.105120677
1664964000.0,20365.5,20365.5,20182.3,20237.6,166.99407361,3382187.646308669
1664971200.0,20237.9,20318.8,20150.1,20225.5,79.96052239,1619838.976376751
1664978400.0,20225.4,20278.7,20070.1,20168.2,182.29624857,3679142.107014319
1664985600.0,20168.7,20280.2,20065.5,20261.0,192.85337804,3885033.911065642
1664992800.0,20261.0,20563.2,20235.9,20427.2,174.91048587,3577790.233109551
1665000000.0,20426.1,20558.2,20345.5,20350.6,98.92698061,2020565.23240782
1665007200.0,20356.2,20391.2,20226.7,20286.0,63.0126284,1278638.978112684
1665014400.0,20288.1,20434.1,20256.3,20342.9,23.9047939,486211.091553337
1665021600.0,20342.9,20587.9,20342.8,20561.4,32.79604885,671235.584502292
1665028800.0,20561.4,20597.7,20455.8,20533.3,25.57288309,525119.072266102
1665036000.0,20533.3,20621.0,20433.0,20479.0,44.33022721,909821.365233922
1665043200.0,20479.0,20479.0,20352.5,20405.1,70.9975995,1449240.271430104
1665050400.0,20405.0,20440.3,20333.6,20333.9,107.66201069,2194610.980470437
1665057600.0,20334.0,20536.1,20333.9,20518.8,165.76600163,3382791.970452917
1665064800.0,20522.0,20600.0,20364.5,20464.4,143.05894869,2932283.296129946
1665072000.0,20464.5,20486.9,20226.7,20418.0,146.65677177,2986472.857193266
1665079200.0,20418.0,20666.0,20362.1,20498.8,93.90327678,1925140.964366755
1665086400.0,20499.1,20499.1,20411.0,20434.8,67.73346421,1385891.398306464
1665093600.0,20434.8,20487.8,20331.8,20332.8,56.59363621,1155982.835155499
1665100800.0,20332.0,20385.4,20302.4,20381.9,17.04663828,346866.569720756
1665108000.0,20381.9,20464.4,20373.0,20416.9,16.21773898,331154.824203496
1665115200.0,20416.9,20449.5,20388.9,20390.2,6.27762835,128181.088577464
1665122400.0,20389.1,20413.2,20343.8,20377.1,54.0189192,1099921.582440015
